epoch,i_loss,n_loss,psnr,ssim,val_i_loss,val_n_loss,val_psnr,val_ssim
67,0.0238377415,0.0485703163,31.95791054,0.913885236,0.084382765,0,20.36905289,0.905598581
68,0.0237964038,0.0483672246,31.98934555,0.914201319,0.0822359994,0,20.61597824,0.907369316
69,0.0238295253,0.0480753593,32.01177216,0.914545953,0.0842268392,0,20.41163254,0.905838609
70,0.0234013777,0.0479916409,32.09153366,0.915931582,0.0839900821,0,20.38586044,0.90662092
71,0.0233814567,0.0475937761,32.12404633,0.91628021,0.0838292465,0,20.4371624,0.904169023
72,0.0231459234,0.0474276096,32.19368744,0.917186677,0.0831752717,0,20.55332375,0.906549573
73,0.0230241027,0.0473964624,32.24514771,0.917884946,0.083119005,0,20.5526371,0.906552255
74,0.0229724254,0.0472535715,32.27183151,0.917932808,0.0813144594,0,20.70734215,0.908031344
75,0.0228187405,0.0469038449,32.31851959,0.918982625,0.0843690112,0,20.35024834,0.903353572
76,0.0226736795,0.0468682237,32.36973953,0.91950202,0.0814633369,0,20.62896347,0.908884108
77,0.0226462949,0.046574939,32.40197754,0.919743955,0.0823372602,0,20.58539963,0.908166885
78,0.0224823561,0.0464705341,32.45561218,0.920619011,0.0841851011,0,20.46312904,0.905958951
79,0.0222025886,0.0462244637,32.53931427,0.922092915,0.0804697126,0,20.84360695,0.910961509
80,0.0220757555,0.0461381301,32.57522202,0.922308028,0.0814394504,0,20.76573181,0.909427822
81,0.0222975761,0.0459219664,32.55600739,0.921756804,0.0828427821,0,20.63809013,0.905185521
82,0.0223327093,0.0456296615,32.56427002,0.921450436,0.0820976198,0,20.65730095,0.907168567
83,0.0221343096,0.0457729883,32.64304733,0.922569573,0.0828278437,0,20.58538246,0.906151474
84,0.022019593,0.0453514159,32.67477417,0.923120022,0.0826549977,0,20.5974102,0.907152236
85,0.0219576284,0.0452944897,32.71147537,0.923636734,0.0811018944,0,20.8227787,0.90785706
86,0.0217421371,0.045264449,32.75924683,0.92465204,0.0836991593,0,20.51088333,0.905880392
87,0.0216171537,0.0448911488,32.79402161,0.924923956,0.0822444782,0,20.6211338,0.906815886
88,0.0216655098,0.0450321287,32.82186127,0.924627483,0.0816987455,0,20.72221565,0.908546209
89,0.0214822497,0.0447912775,32.87147141,0.925696194,0.0814586431,0,20.76093864,0.908351421
90,0.0215787757,0.0446085744,32.87574768,0.925102651,0.0820657089,0,20.66186333,0.906294882
91,0.0212448295,0.0445875302,32.93976974,0.926859498,0.0849174485,0,20.40963554,0.904134393
92,0.021133041,0.0446067639,32.9933548,0.927429855,0.081901446,0,20.65768814,0.908925474
93,0.0211535897,0.0442737713,32.9984436,0.927520216,0.0837048665,0,20.50410461,0.904686511
94,0.0209449157,0.0439877063,33.05236816,0.928550243,0.0824609846,0,20.65725517,0.905953944
95,0.0211007521,0.0440049171,33.04790878,0.927643359,0.0831567794,0,20.62433815,0.90769887
96,0.0209078677,0.0437715501,33.09979248,0.928557932,0.083489567,0,20.49023056,0.907053769
97,0.0208378378,0.0438197777,33.14165497,0.929004967,0.0819492638,0,20.58839607,0.909845233
98,0.020832615,0.043744009,33.1345253,0.928843617,0.0832055658,0,20.50291634,0.90781492
99,0.0206410065,0.0435123742,33.19466782,0.930151403,0.0834685639,0,20.54562759,0.90888685
100,0.0207005348,0.0433350243,33.2037735,0.929916024,0.0823296085,0,20.61970329,0.909528494
101,0.0205739066,0.0431746244,33.24436188,0.930567384,0.0819932669,0,20.70051193,0.910441518
102,0.0204663426,0.0431859866,33.27954865,0.931034863,0.0804143921,0,20.81134796,0.911776006
103,0.020473592,0.043014273,33.27274323,0.930487752,0.0802466422,0,20.8772316,0.910885036
104,0.0204578042,0.042926643,33.29449081,0.930674732,0.0808504149,0,20.81723022,0.910359383
105,0.0203619711,0.0428123847,33.33243942,0.931351781,0.0821070001,0,20.73353004,0.907894075
106,0.0201265831,0.0426922329,33.38686752,0.932292998,0.0813184604,0,20.77929115,0.910585642
107,0.020076707,0.042654559,33.42142105,0.9328233,0.0835884362,0,20.56617165,0.908262312
108,0.0200572368,0.0423792899,33.43312836,0.932886124,0.0836106092,0,20.52595329,0.908849955
109,0.0200634543,0.0423899852,33.45461273,0.933009684,0.081680119,0,20.70482445,0.908659458
110,0.0199611876,0.0424654335,33.48364639,0.933140218,0.0813518465,0,20.77259254,0.910186887
